epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.445,2.39934,4.5129,2.30922,0.01779,0.25,0.01451,0.01148,1.36059,4.40432,1.7233,1.25e-05,1.25e-05,1.25e-05
2,86.428,2.05228,4.20398,2.01268,0.02727,0.29167,0.02831,0.02101,1.21549,4.72016,1.61936,3.67575e-05,3.67575e-05,3.67575e-05
3,130.566,2.04648,3.79939,2.05371,0.03029,0.08333,0.01629,0.00761,1.25415,7.20569,1.69055,6.0025e-05,6.0025e-05,6.0025e-05
4,173.972,2.08932,3.39346,2.08649,0.38157,0.04167,0.02072,0.00736,1.3942,16.4354,1.82251,8.23025e-05,8.23025e-05,8.23025e-05
5,216.774,1.83735,2.70038,1.90473,0.47368,0.04167,0.02679,0.0077,1.39965,19.1435,1.82315,0.00010359,0.00010359,0.00010359
6,260.746,1.72542,2.30217,1.72632,0.46959,0.04167,0.03093,0.01174,1.55036,17.3563,1.94283,0.000123888,0.000123888,0.000123888
7,303.742,1.65502,2.53711,1.6963,0.42838,0.04167,0.03309,0.00996,1.67629,15.0688,2.04723,0.000143195,0.000143195,0.000143195
8,347.773,1.58546,2.62236,1.68503,0.7449,0.08333,0.04192,0.01853,1.68108,11.5362,1.9765,0.000161513,0.000161513,0.000161513
9,391.226,1.38968,2.42226,1.66253,0.74711,0.08333,0.05981,0.02839,1.70002,8.45775,1.89957,0.00017884,0.00017884,0.00017884
10,433.857,1.2865,2.2263,1.51899,0.41633,0.08294,0.0348,0.01535,1.68705,7.55596,1.90204,0.000195178,0.000195178,0.000195178
11,476.656,1.3414,2.04466,1.45217,0.73285,0.08333,0.03922,0.01389,1.82933,7.2544,2.03224,0.000210525,0.000210525,0.000210525
12,519.738,1.58302,2.04293,1.62176,0.73285,0.08333,0.03922,0.01389,1.82933,7.2544,2.03224,0.000224883,0.000224883,0.000224883
13,562.248,1.50932,2.02102,1.54151,0.79298,0.08333,0.1131,0.02298,1.91679,5.98586,2.26459,0.00023825,0.00023825,0.00023825
14,604.497,1.27093,1.74463,1.43991,0.77297,0.125,0.06634,0.01881,2.01922,5.63651,2.38835,0.000250627,0.000250627,0.000250627
15,646.417,1.55281,1.93041,1.53375,0.77297,0.125,0.06634,0.01881,2.01922,5.63651,2.38835,0.000262015,0.000262015,0.000262015
16,688.184,1.50306,2.08014,1.56425,0.74354,0.125,0.04628,0.01294,1.94865,5.32331,2.45398,0.000272412,0.000272412,0.000272412
17,730.507,1.43934,2.04525,1.50135,0.70398,0.125,0.02304,0.0055,1.95562,6.7566,2.55042,0.00028182,0.00028182,0.00028182
18,770.113,1.46975,1.89841,1.62665,0.70398,0.125,0.02304,0.0055,1.95562,6.7566,2.55042,0.000290237,0.000290237,0.000290237
19,809.665,1.22199,1.89924,1.45025,0.76122,0.08333,0.04354,0.00844,2.20861,4.57761,3.02704,0.000297665,0.000297665,0.000297665
20,851.208,1.29629,1.7091,1.40104,0.76122,0.08333,0.04354,0.00844,2.20861,4.57761,3.02704,0.000304103,0.000304103,0.000304103
21,891.924,1.24204,1.70111,1.37887,0.95144,0.08333,0.09102,0.03313,2.34512,4.24054,3.0522,0.00030955,0.00030955,0.00030955
22,936.077,1.45019,1.61756,1.51674,0.95144,0.08333,0.09102,0.03313,2.34512,4.24054,3.0522,0.000314008,0.000314008,0.000314008
23,978.905,1.24696,1.44929,1.46849,0.78556,0.08333,0.05191,0.0232,2.32663,4.77936,3.07459,0.000317475,0.000317475,0.000317475
24,1019.93,1.29841,1.61145,1.40569,0.78556,0.08333,0.05191,0.0232,2.32663,4.77936,3.07459,0.000319953,0.000319953,0.000319953
25,1061.8,1.30464,1.60351,1.40662,0.74919,0.08333,0.07089,0.02053,2.32323,4.94932,3.05527,0.00032144,0.00032144,0.00032144
26,1103.67,1.45359,1.72283,1.51471,0.74919,0.08333,0.07089,0.02053,2.32323,4.94932,3.05527,0.000321938,0.000321938,0.000321938
27,1144.43,1.35869,1.97774,1.55442,0.74919,0.08333,0.07089,0.02053,2.32323,4.94932,3.05527,0.000321445,0.000321445,0.000321445
28,1186.27,1.0971,1.39075,1.31877,0.72317,0.125,0.03213,0.01009,2.51296,4.50309,3.00678,0.000319962,0.000319962,0.000319962
29,1226.61,1.11971,1.34933,1.31673,0.72317,0.125,0.03213,0.01009,2.51296,4.50309,3.00678,0.00031749,0.00031749,0.00031749
30,1267.2,1.15713,1.35745,1.38085,0.69162,0.125,0.0227,0.01205,2.36384,5.14372,2.6459,0.000314028,0.000314028,0.000314028
31,1307.81,1.25613,1.532,1.29119,0.69162,0.125,0.0227,0.01205,2.36384,5.14372,2.6459,0.000309575,0.000309575,0.000309575
32,1347.53,1.25481,1.45834,1.3665,0.69162,0.125,0.0227,0.01205,2.36384,5.14372,2.6459,0.000304132,0.000304132,0.000304132
